bv_id,title,message,time,like,uid,name,sex,level,vip
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,没有收入的我快吃不上饭了，各位行行好，赏我两个硬币吧。,2022-03-22 11:15:33,50657,10360627,张全蛋,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"那天我去酸菜厂面试
老板一闻我的脚叫我马上上班[doge]",2022-03-22 13:54:50,40770,353464042,骑自行车的大哥哥哦,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我这里还有一箱老坛酸菜牛肉面，市面上已经见不到了，绝版了，但是还在有效期内，要的私[doge],2022-03-22 11:33:01,25772,434551860,眼睛大得像铜铃er,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,但是说真的，必定会误伤很多合规的。。目前只要涉及泡菜，酸菜的地方都有人刷这件事。,2022-03-22 14:16:23,15095,179951438,硫代碳酸娜,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,神tm丰衣足食[笑哭],2022-03-22 11:31:18,13296,104803536,十李小语十,保密,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,全蛋这次有点晚啊。热度都快过了,2022-03-22 11:07:22,8894,470755023,破钟wolf,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,脚踩的酸菜虽然没了，但是踩过酸菜的脚还在啊，可以抱着他们的脚啃[滑稽],2022-03-22 11:27:47,6985,241144048,泉水仍在心间流淌,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,确实听说踩酸菜这操作已经很长时间了，而且不仅局限于泡沫配料包，曝光迟了属于是[笑哭],2022-03-22 14:02:16,2927,428717,阎魔翰,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我想起高中的时候我妈请了个阿姨来打扫卫生，晚上回到家睡觉，我发现我的被子怎么是臭酸的，高中太累了倒头就睡也没细想，后来问我妈她说请了个阿姨打扫，可能踩在我床上擦柜子[辣眼睛],2022-03-22 14:19:30,3867,512795448,绿番茄炒西红柿,保密,3,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,最近我做的酸菜上了新闻，引起全网批判，可没有人关心我的工作丢了怎么办？,2022-03-22 11:00:51,3564,140093410,BROKEN_0717,保密,5,
